anio,cve_ent,glofas,isimip2a
2000,01,383000753.143697,0.0
2000,02,56781953.97843149,770345029.7198433
2000,03,10.000205823509864,4179.599609448743
2000,04,176893997.03765363,120766682.14365116
2000,05,855221282.716282,698391311.3838489
2000,06,862507521.0903867,20739269.07974349
2000,07,1506053478.26523,1270257522.5465496
2000,08,447128695.8695406,1075481907.2145035
2000,09,3747612771.733735,2567473936.280863
2000,10,419509329.36908954,13755879.962808084
2000,11,1674702032.874855,19774871.091545142
2000,12,270490003.1604935,139955726.53333208
2000,13,10690710.681084905,392272928.9364106
2000,14,2918102339.5387473,52676164.26817696
2000,15,14721502024.251814,6642384863.9905405
2000,16,1363054228.1436574,342671000.27676827
2000,17,686646.3688570759,0.0
2000,18,1920176106.950397,163637552.86877975
2000,19,2132088925.3514407,58214.17229967581
2000,20,1026842175.175772,2486296462.8248935
2000,21,5413023.602295427,107361041.5971648
2000,22,391594.88597250276,501031.0909306129
2000,23,34754740.15369564,26066630.229577314
2000,24,74805696.55539818,495254439.7976993
2000,25,3929370359.3192983,1928861643.819926
2000,26,1288331424.5921159,44655802.843744375
2000,27,10525847863.847584,17546844756.92575
2000,28,7999007167.167789,2263551275.2135777
2000,29,0.0,16378541.28582164
2000,30,4962868662.702423,7819477183.704486
2000,31,0.0,4406977.873674354
2000,32,28336067.087226845,0.0
2001,01,1971341117.8445203,0.0
2001,02,39787437.699835286,827627489.2429372
2001,03,15.9787034328723,3399.217628153995
2001,04,97547201.3323175,65394915.81506326
2001,05,941522178.8457296,540896901.363459
2001,06,135585326.74118283,10435991.50025039
2001,07,2026252627.2376304,982996488.7513783
2001,08,478978643.73601466,1591904169.6012683
2001,09,4010737209.879547,2336979117.132038
2001,10,384247167.4779652,11275340.63781585
2001,11,3847654107.4815397,452454035.1891677
2001,12,254881510.40236694,152837286.0986146
2001,13,23676988.790117886,370917870.8380727
2001,14,3057880468.0563,36885854.1855024
2001,15,18168959331.91478,5840280378.953958
2001,16,1257726095.6702397,319505527.92546004
2001,17,712013.9178186824,0.0
2001,18,1031796156.192027,143002385.66580254
2001,19,2162168652.929766,48575.56302790011
2001,20,1065086010.3745518,2215945209.1118226
2001,21,5020997.437305682,94925097.9291648
2001,22,983997.0627862003,433169.2178369451
2001,23,6629907.343448724,25564778.199638758
2001,24,159124140.53159705,373620649.2382973
2001,25,2105115514.7082648,1606643281.2839625
2001,26,1767391522.7212539,78481197.2418875
2001,27,12133422335.079233,12442210787.264576
2001,28,8426275811.915255,2179228136.4118013
2001,29,0.0,16193609.389145467
2001,30,7668813279.357143,7079333421.696256
2001,31,0.0,1227856.8878670207
2001,32,39246202.612914175,0.0
2002,01,652417786.1358771,0.0
2002,02,22592881.06144228,773750043.7670225
2002,03,10.04749784471373,2683.169461745077
2002,04,192093739.35527024,111134927.57906312
2002,05,883713106.6505406,464544184.5679165
2002,06,144383942.9798327,10226832.13806184
2002,07,1958143624.5334847,1083662532.4804895
2002,08,793765655.4831982,891248062.6452917
2002,09,3198897496.334386,2078472004.967196
2002,10,416614279.90395325,9728286.74008481
2002,11,3077531712.1164126,2115799.9029736593
2002,12,299275679.04627794,186934734.49052075
2002,13,17074468.997541048,314062970.4110584
2002,14,2848857215.799918,35372683.431950204
2002,15,25105601355.662197,5242453271.501434
2002,16,1581729161.3959825,416160911.63426656
2002,17,539593.4316954385,0.0
2002,18,1010122245.8453737,133143101.1829057
2002,19,3076211345.8663735,59720.606800450274
2002,20,1165618556.0526152,1980996208.8757126
2002,21,7053588.997031284,83616388.20677292
2002,22,895568.6936778524,311848.68851671263
2002,23,6504529.183033444,17969716.81015035
2002,24,130102898.32873194,393429784.1929989
2002,25,1581826692.602851,1581190245.1436713
2002,26,726573093.1762577,40306899.97260241
2002,27,15461104245.902674,12837084735.421299
2002,28,10023339319.549194,2452395898.7252507
2002,29,0.0,16000646.88270056
2002,30,4685732088.923154,5614482267.859419
2002,31,0.0,1831356.3575113649
2002,32,68344513.23619801,0.0
